Name,DateOfBirth,PAN,Salary,Allowances,Aadhaar,PensionClassification,BankDetails
John,12/10/1997,xyz2323,25000,5000,123232,True,ICICI/2913289862/public
Mike,08/07/1996,xyz2324,25000,2000,645542,False,SBI/1870060831/public
Jacob,18/11/1997,xyz2325,35000,3000,532434,True,HDFC/3572284703/private
Maya,30/06/1998,xyz2326,20000,4000,745455,False,ICICI/9501620701/public
Ram,22/01/1996,xyz2327,30000,5000,365666,True,SBI/2919522077/public
Harry,15/11/1997,xyz2328,25000,2000,276762,False,HDFC/9303113314/private
Ron,31/12/1998,xyz2329,35000,3000,332445,True,ICICI/4884432179/private
Archie,05/07/1999,xyz2330,30000,4000,773452,False,SBI/0289532222/public
Mary,26/09/1997,xyz2331,40000,2000,642455,False,HDFC/0371292390/public
Dennis,14/10/1998,xyz2332,25000,3000,475889,True,ICICI/5891296848/private
Sam,29/05/1996,xyz2333,35000,4000,883424,False,SBI/4616315734/public
Ben,11/07/1997,xyz2334,30000,5000,124338,True,HDFC/0792092295/private
David,27/10/1998,xyz2335,40000,2000,923323,False,ICICI/3466728155/public
Chloe,17/08/1996,xyz2336,30000,3000,846432,True,SBI/7592936925 /public
Jack,15/05/1997,xyz2337,25000,4000,454237,False,HDFC/0532225744/public
Jill,13/03/1999,xyz2338,35000,5000,356466,True,ICICI/8057112881/private
Zoe,24/02/1996,xyz2339,35000,2000,767123,False,SBI/9617763535/private
Ethan,07/11/1999,xyz2340,40000,3000,355346,True,HDFC/9344601811/public
Jay,19/06/1997,xyz2341,35000,4000,245535,False,ICICI/1267382666/public
Charlie,16/04/1998,xyz2342,25000,5000,546777,True,SBI/6942934508/private
